Radius =100
center of circle X =300
center of circle Y =200
ANGLE,X,Y
0,200,400
1,201,399
2,203,399
3,205,399
4,206,399
5,208,399
6,210,399
7,212,399
8,213,399
9,215,398
10,217,398
11,219,398
12,220,397
13,222,397
14,224,397
15,225,396
16,227,396
17,229,395
18,230,395
19,232,394
20,234,393
21,235,393
22,237,392
23,239,392
24,240,391
25,242,390
26,243,389
27,245,389
28,246,388
29,248,387
30,249,386
31,251,385
32,252,384
33,254,383
34,255,382
35,257,381
36,258,380
37,260,379
38,261,378
39,262,377
40,264,376
41,265,375
42,266,374
43,268,373
44,269,371
45,270,370
46,271,369
47,273,368
48,274,366
49,275,365
50,276,364
51,277,362
52,278,361
53,279,360
54,280,358
55,281,357
56,282,355
57,283,354
58,284,352
59,285,351
60,286,350
61,287,348
62,288,346
63,289,345
64,289,343
65,290,342
66,291,340
67,292,339
68,292,337
69,293,335
70,293,334
71,294,332
72,295,330
73,295,329
74,296,327
75,296,325
76,297,324
77,297,322
78,297,320
79,298,319
80,298,317
81,298,315
82,299,313
83,299,312
84,299,310
85,299,308
86,299,306
87,299,305
88,299,303
89,299,301
90,299,300
91,299,298
92,299,296
93,299,294
94,299,293
95,299,291
96,299,289
97,299,287
98,299,286
99,298,284
100,298,282
101,298,280
102,297,279
103,297,277
104,297,275
105,296,274
106,296,272
107,295,270
108,295,269
109,294,267
110,293,265
111,293,264
112,292,262
113,292,260
114,291,259
115,290,257
116,289,256
117,289,254
118,288,253
119,287,251
120,286,249
121,285,248
122,284,247
123,283,245
124,282,244
125,281,242
126,280,241
127,279,239
128,278,238
129,277,237
130,276,235
131,275,234
132,274,233
133,273,231
134,271,230
135,270,229
136,269,228
137,268,226
138,266,225
139,265,224
140,264,223
141,262,222
142,261,221
143,260,220
144,258,219
145,257,218
146,255,217
147,254,216
148,252,215
149,251,214
150,249,213
151,248,212
152,246,211
153,245,210
154,243,210
155,242,209
156,240,208
157,239,207
158,237,207
159,235,206
160,234,206
161,232,205
162,230,204
163,229,204
164,227,203
165,225,203
166,224,202
167,222,202
168,220,202
169,219,201
170,217,201
171,215,201
172,213,200
173,212,200
174,210,200
175,208,200
176,206,200
